,Inspection,Maintenance,Performance
0,1.0,0.0,1.0
1,1.0,0.0,0.95
2,1.0,0.0,0.91
3,1.0,-0.0,0.87
4,1.0,-0.0,0.8300000000000001
5,1.0,1.0,1.0
6,1.0,-0.0,0.9500000000000001
7,1.0,-0.0,0.91
8,1.0,-0.0,0.87
9,1.0,-0.0,0.8300000000000001
10,1.0,1.0,1.0
11,1.0,-0.0,0.9500000000000001
12,1.0,-0.0,0.91
13,1.0,-0.0,0.87
14,1.0,-0.0,0.8300000000000001
15,1.0,1.0,1.0
16,1.0,-0.0,0.9500000000000001
17,1.0,-0.0,0.91
18,1.0,-0.0,0.87
19,1.0,-0.0,0.8300000000000001
20,1.0,-0.0,0.79
21,1.0,-0.0,0.76
22,1.0,1.0,1.0
23,1.0,-0.0,0.9500000000000001
24,1.0,-0.0,0.91
25,1.0,-0.0,0.87
26,1.0,-0.0,0.8300000000000001
27,1.0,-0.0,0.79
28,1.0,-0.0,0.76
29,1.0,-0.0,0.72
