,Inspection,Maintenance,Performance
0,0.0,0.0,1.0
1,0.0,0.0,0.95
2,0.0,0.0,0.91
3,0.0,-0.0,0.87
4,0.0,-0.0,0.8300000000000001
5,-0.0,-0.0,0.79
6,1.0,-0.0,0.76
7,-0.0,-0.0,0.72
8,-0.0,-0.0,0.6900000000000001
9,1.0,-0.0,0.66
10,1.0,1.0,1.0
11,-0.0,-0.0,0.9500000000000001
12,-0.0,-0.0,0.91
13,-0.0,-0.0,0.87
14,0.0,-0.0,0.8300000000000001
15,0.0,-0.0,0.79
16,1.0,-0.0,0.76
17,-0.0,-0.0,0.72
18,1.0,-0.0,0.6900000000000001
19,-0.0,1.0,1.0
20,1.0,-0.0,0.9500000000000001
21,0.0,-0.0,0.91
22,0.0,-0.0,0.87
23,0.0,-0.0,0.8300000000000001
24,1.0,-0.0,0.79
25,1.0,-0.0,0.76
26,1.0,-0.0,0.72
27,0.0,-0.0,0.6900000000000001
28,1.0,-0.0,0.66
29,-0.0,-0.0,0.63
